2026-05-16 19:10:25 [warning  ] predict_skip_nan               crop_len=7 flight_id=4ca5c8_NOCALL_s0 nan_rows=7
2026-05-16 19:11:09 [warning  ] predict_skip_nan               crop_len=77 flight_id=7c6b0e_JST664_s0 nan_rows=77
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=30 flight_id=7c6b0e__s0 nan_rows=30
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=75 flight_id=7c6b0e__s1 nan_rows=75
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=12 flight_id=7c6b0e__s10 nan_rows=12
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=42 flight_id=7c6b0e__s11 nan_rows=42
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=87 flight_id=7c6b0e__s4 nan_rows=87
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=25 flight_id=7c6b0e__s7 nan_rows=25
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=111 flight_id=7c6b0e__s8 nan_rows=111
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=56 flight_id=a0681c_AA0013_s0 nan_rows=56
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=75 flight_id=a0681c_AA0013_s1 nan_rows=75
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=414 flight_id=a0681c_AA0013_s2 nan_rows=414
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=75 flight_id=a0681c_AA0013_s3 nan_rows=75
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=222 flight_id=a0681c_AA0013_s4 nan_rows=222
2026-05-16 19:13:40 [warning  ] predict_skip_nan               crop_len=185 flight_id=a0681c_AA0013_s5 nan_rows=185
2026-05-16 19:14:39 [warning  ] predict_skip_nan               crop_len=1 flight_id=a0681c_AAL2368_s2 nan_rows=1
2026-05-16 19:14:39 [warning  ] predict_skip_nan               crop_len=1 flight_id=a0681c_AAL2368_s3 nan_rows=1
2026-05-16 19:16:12 [warning  ] predict_skip_nan               crop_len=75 flight_id=a0681c_AAL634_s2 nan_rows=75
2026-05-16 19:16:35 [warning  ] predict_skip_nan               crop_len=1225 flight_id=a06bd3_AAL1518_s0 nan_rows=1225
2026-05-16 19:16:35 [warning  ] predict_skip_nan               crop_len=1684 flight_id=a06bd3_AAL1518_s1 nan_rows=1684
2026-05-16 19:16:35 [warning  ] predict_skip_nan               crop_len=394 flight_id=a06bd3_AAL1518_s2 nan_rows=394
2026-05-16 19:17:55 [warning  ] predict_skip_nan               crop_len=534 flight_id=a06bd3_AAL489_s0 nan_rows=534
2026-05-16 19:18:54 [warning  ] predict_skip_nan               crop_len=85 flight_id=a06bd3_N126UW_s0 nan_rows=85
2026-05-16 19:18:54 [warning  ] predict_skip_nan               crop_len=125 flight_id=a06bd3_N126UW_s1 nan_rows=125
2026-05-16 19:18:54 [warning  ] predict_skip_nan               crop_len=462 flight_id=a06bd3_N126UW_s2 nan_rows=462
2026-05-16 19:26:23 [warning  ] predict_skip_nan               crop_len=38 flight_id=a31829_AAY1570_s0 nan_rows=38
2026-05-16 19:32:49 [warning  ] predict_skip_nan               crop_len=79 flight_id=a438c3_DAL330_s0 nan_rows=79
2026-05-16 19:33:09 [warning  ] predict_skip_nan               crop_len=3 flight_id=a438c3_DAL360_s0 nan_rows=3
2026-05-16 19:33:25 [warning  ] predict_skip_nan               crop_len=75 flight_id=a438c3_DAL360_s2 nan_rows=75
2026-05-16 19:33:41 [warning  ] predict_skip_nan               crop_len=11 flight_id=a438c3_DAL537_s0 nan_rows=11
2026-05-16 19:33:56 [warning  ] predict_skip_nan               crop_len=87 flight_id=a438c3_DAL926_s0 nan_rows=87
2026-05-16 19:34:29 [warning  ] predict_skip_nan               crop_len=57 flight_id=a438c3_NOCALL_s13 nan_rows=57
2026-05-16 19:34:29 [warning  ] predict_skip_nan               crop_len=75 flight_id=a438c3_NOCALL_s17 nan_rows=75
2026-05-16 19:37:36 [warning  ] predict_skip_nan               crop_len=1 flight_id=a43c7a_DAL2749_s1 nan_rows=1
2026-05-16 19:38:50 [warning  ] predict_skip_nan               crop_len=33 flight_id=a43c7a_DAL420_s1 nan_rows=33
2026-05-16 19:39:55 [warning  ] predict_skip_nan               crop_len=76 flight_id=a43c7a_NOCALL_s11 nan_rows=76
2026-05-16 19:39:55 [warning  ] predict_skip_nan               crop_len=79 flight_id=a5b916_NOCALL_s8 nan_rows=79
2026-05-16 19:40:07 [warning  ] predict_skip_nan               crop_len=53 flight_id=a5b916_UAL1479_s0 nan_rows=53
2026-05-16 19:41:13 [warning  ] predict_skip_nan               crop_len=87 flight_id=a5b916_UAL1781_s1 nan_rows=87
2026-05-16 19:41:13 [warning  ] predict_skip_nan               crop_len=29 flight_id=a5b916_UAL1874_s0 nan_rows=29
2026-05-16 19:42:05 [warning  ] predict_skip_nan               crop_len=19 flight_id=a5b916_UAL2265_s0 nan_rows=19
2026-05-16 19:42:45 [warning  ] predict_skip_nan               crop_len=52 flight_id=a5b916_UAL347_s0 nan_rows=52
2026-05-16 19:43:31 [warning  ] predict_skip_nan               crop_len=22 flight_id=a5b916_UAL616_s0 nan_rows=22
2026-05-16 19:44:20 [warning  ] predict_skip_nan               crop_len=111 flight_id=a6a4d5_NOCALL_s0 nan_rows=111
2026-05-16 19:45:22 [warning  ] predict_skip_nan               crop_len=1 flight_id=a6a4d5_VOI3193_s0 nan_rows=1
2026-05-16 19:47:00 [warning  ] predict_skip_nan               crop_len=2 flight_id=a6c6cb_NOCALL_s3 nan_rows=2
2026-05-16 19:48:26 [warning  ] predict_skip_nan               crop_len=39 flight_id=a6cb48_JBU1334_s3 nan_rows=39
2026-05-16 19:48:32 [warning  ] predict_skip_nan               crop_len=41 flight_id=a6cb48_JBU1608_s0 nan_rows=41
2026-05-16 19:49:50 [warning  ] predict_skip_nan               crop_len=120 flight_id=a6cb48_JBU893_s0 nan_rows=120
2026-05-16 19:50:20 [warning  ] predict_skip_nan               crop_len=101 flight_id=a6cb48_NOCALL_s0 nan_rows=101
2026-05-16 19:50:20 [warning  ] predict_skip_nan               crop_len=75 flight_id=a6cb48_NOCALL_s14 nan_rows=75
2026-05-16 19:50:20 [warning  ] predict_skip_nan               crop_len=60 flight_id=a6cb48_NOCALL_s16 nan_rows=60
2026-05-16 19:50:20 [warning  ] predict_skip_nan               crop_len=408 flight_id=a6cb48_NOCALL_s7 nan_rows=408
2026-05-16 19:50:56 [warning  ] predict_skip_nan               crop_len=23 flight_id=a7da9c_JBU1849_s2 nan_rows=23
2026-05-16 19:51:02 [warning  ] predict_skip_nan               crop_len=97 flight_id=a7da9c_JBU1903_s1 nan_rows=97
2026-05-16 19:51:09 [warning  ] predict_skip_nan               crop_len=59 flight_id=a7da9c_JBU2105_s1 nan_rows=59
2026-05-16 19:51:25 [warning  ] predict_skip_nan               crop_len=8 flight_id=a7da9c_JBU2106_s1 nan_rows=8
2026-05-16 19:51:59 [warning  ] predict_skip_nan               crop_len=3 flight_id=a7da9c_JBU2266_s2 nan_rows=3
2026-05-16 19:52:32 [warning  ] predict_skip_nan               crop_len=8 flight_id=a7da9c_JBU404_s1 nan_rows=8
2026-05-16 19:52:32 [warning  ] predict_skip_nan               crop_len=3 flight_id=a7da9c_JBU404_s2 nan_rows=3
2026-05-16 19:52:54 [warning  ] predict_skip_nan               crop_len=92 flight_id=a7da9c_JBU526_s1 nan_rows=92
2026-05-16 19:53:24 [warning  ] predict_skip_nan               crop_len=1 flight_id=a7da9c_NOCALL_s11 nan_rows=1
2026-05-16 19:53:24 [warning  ] predict_skip_nan               crop_len=31 flight_id=a7da9c_NOCALL_s14 nan_rows=31
2026-05-16 19:53:24 [warning  ] predict_skip_nan               crop_len=39 flight_id=a7da9c_NOCALL_s2 nan_rows=39
2026-05-16 19:53:24 [warning  ] predict_skip_nan               crop_len=3 flight_id=a7da9c_NOCALL_s22 nan_rows=3
2026-05-16 19:53:24 [warning  ] predict_skip_nan               crop_len=75 flight_id=a7da9c_NOCALL_s24 nan_rows=75
2026-05-16 19:53:24 [warning  ] predict_skip_nan               crop_len=75 flight_id=a7da9c_NOCALL_s7 nan_rows=75
2026-05-16 19:53:24 [warning  ] predict_skip_nan               crop_len=76 flight_id=a7da9c_NOCALL_s8 nan_rows=76
2026-05-16 19:53:48 [warning  ] predict_skip_nan               crop_len=5 flight_id=a7e9e4_NKS2644_s1 nan_rows=5
2026-05-16 19:54:01 [warning  ] predict_skip_nan               crop_len=16 flight_id=a7e9e4_NKS2646_s0 nan_rows=16
2026-05-16 19:54:40 [warning  ] predict_skip_nan               crop_len=149 flight_id=a7e9e4_NKS2647_s0 nan_rows=149
2026-05-16 19:56:12 [warning  ] predict_skip_nan               crop_len=92 flight_id=a7e9e4_NOCALL_s10 nan_rows=92
2026-05-16 19:56:42 [warning  ] predict_skip_nan               crop_len=195 flight_id=a87f51_AAL1638_s0 nan_rows=195
2026-05-16 19:56:42 [warning  ] predict_skip_nan               crop_len=84 flight_id=a87f51_AAL1638_s1 nan_rows=84
2026-05-16 19:57:43 [warning  ] predict_skip_nan               crop_len=100 flight_id=a87f51_AAL2623_s0 nan_rows=100
2026-05-16 19:57:43 [warning  ] predict_skip_nan               crop_len=408 flight_id=a87f51_AAL2623_s1 nan_rows=408
2026-05-16 19:59:09 [warning  ] predict_skip_nan               crop_len=871 flight_id=a87f51_AAL3120_s1 nan_rows=871
2026-05-16 19:59:09 [warning  ] predict_skip_nan               crop_len=100 flight_id=a87f51_AAL3120_s2 nan_rows=100
2026-05-16 20:00:33 [warning  ] predict_skip_nan               crop_len=84 flight_id=a87f51_N647AW_s0 nan_rows=84
2026-05-16 20:00:33 [warning  ] predict_skip_nan               crop_len=957 flight_id=a87f51_N647AW_s2 nan_rows=957
2026-05-16 20:00:33 [warning  ] predict_skip_nan               crop_len=183 flight_id=a87f51_N647AW_s3 nan_rows=183
2026-05-16 20:02:04 [warning  ] predict_skip_nan               crop_len=9 flight_id=ab355c_JBU730_s2 nan_rows=9
2026-05-16 20:02:32 [warning  ] predict_skip_nan               crop_len=74 flight_id=ab355c_NOCALL_s3 nan_rows=74
2026-05-16 20:02:32 [info     ] predict_typecode_done          flights_total=542 flights_written=417 typecode=A320
2026-05-16 20:02:32 [info     ] predict_done                   typecodes=['A320']

$ uv run fdm predict --arch adsb --config results_run2/act_gelu_seed2/config.yaml --local-model --model-name act_gelu_seed2 --device cuda
